#{"t_start": 1765098203.162179, "env_id": "None"}
r,l,t
316.203475,469,69.789535
124.909862,181,69.815926
215.872305,319,69.862329
667.97533,1020,70.383873
112.813109,162,70.40666
213.835339,326,70.452462
110.930734,172,70.476778
165.093478,201,70.504834
552.203335,855,70.981155
333.658144,501,71.056851
830.679399,1201,71.241919
184.023376,301,71.658911
830.27856,1213,71.831829
102.506701,137,71.850895
132.175085,209,71.881032
545.693658,768,72.345498
2130.402892,3148,73.138258
571.157837,794,73.603985
363.958638,541,73.680056
535.87619,756,73.786467
509.810687,732,74.247954
713.474176,973,74.386493
191.777781,284,74.427074
911.717037,1336,75.006083
968.948498,1338,75.563649
211.015876,286,75.604387
151.352537,209,75.633518
257.798332,362,75.683893
119.26074,168,75.707122
1288.46652,1754,76.322955
553.72832,712,76.422444
548.607052,782,76.969532
353.400331,480,77.038504
53.858261,76,77.049477
78.917729,118,77.067056
101.037844,166,77.091025
370.881932,472,77.158472
303.051931,419,77.634906
63.118766,84,77.64683
469.513317,662,77.741989
300.75182,410,77.79937
227.679687,326,77.844296
341.383216,486,77.915752
309.947987,434,78.383104
640.030055,897,78.512297
1051.561125,1470,79.092074
76.70908,114,79.108439
85.607617,131,79.127197
1149.751036,1662,79.734392
264.861481,385,79.793871
280.563703,386,79.855367
158.76985,224,79.888003
410.076029,603,80.345377
487.000203,700,80.442742
525.080839,725,80.546036
122.986922,177,80.570928
285.965027,403,80.980694
3370.871284,4702,82.366189
158.649277,233,82.39898
65.079078,97,82.412483
46.163457,79,82.423428
808.123076,1125,82.935295
195.821753,260,82.972582
228.828886,326,83.018847
69.19983,107,83.033629
1658.208393,2247,83.6971
1656.575584,2225,84.430536
1628.995412,2249,85.107079
564.146859,772,85.59818
556.888625,797,85.710432
965.734754,1323,86.27961
1477.559655,1993,86.914695
79.783298,127,86.932526
626.211752,828,87.048912
1168.348938,1534,87.616959
1609.082924,2012,88.294603
2528.015522,3213,89.103048
154.14727,190,89.129875
1576.408032,1969,89.745425
676.494647,816,90.213991
1463.698177,1812,90.855955
750.187794,899,90.980379
665.225426,815,91.444767
1052.006986,1293,91.625543
1721.905721,2056,92.271458
4972.939152,5809,94.306486
344.053881,376,94.361186
107.268106,130,94.37951
115.510979,154,94.401629
155.492508,176,94.427279
3768.40121,4114,95.819616
105.666079,142,95.841595
810.051196,834,96.408117
1082.269629,1232,96.597197
153.597316,172,97.038178
313.405778,378,97.095894
859.741026,933,97.236681
474.500501,491,97.372162
55.81149,73,97.382393
615.297698,658,97.88364
563.508044,611,97.970198
825.098196,913,98.492707
234.038998,296,98.534938
1278.352959,1442,98.740019
556.986658,615,99.36718
150.555857,179,99.393877
672.516424,729,99.504783
154.355501,164,99.528212
1848.600289,1988,100.231129
85.51437,110,100.246864
181.183594,199,100.275122
47.395562,69,100.284876
448.366494,463,100.714245
163.607314,209,100.743746
564.054677,592,100.826212
401.581606,473,100.89211
2194.335571,2454,101.598609
682.258179,702,102.095217
606.125149,647,102.186176
905.102845,915,102.78176
729.03132,752,102.892869
73.584817,109,102.908215
211.805274,247,102.943852
79.592124,97,102.957575
1981.548713,2058,103.739713
2939.892313,3147,104.911101
1178.056694,1203,105.081018
796.706389,806,105.557769
2460.769121,2520,106.318815
200.83899,222,106.350575
338.019375,333,106.397836
282.832148,301,106.440636
2268.034869,2264,107.117324
1476.459855,1615,107.688102
100.31839,103,107.702175
786.191789,759,108.18777
809.249515,810,108.304563
831.855415,837,108.420732
784.448091,856,108.918447
2320.104892,2388,109.623859
117.445659,131,109.642572
1017.307895,1056,110.16027
1194.358645,1222,110.33046
125.625194,164,110.353729
1443.770371,1522,110.945461
325.957439,353,110.995469
41.36176,50,111.002379
143.11036,132,111.020793
1092.332098,1123,111.529594
392.754137,399,111.584902
594.803206,623,111.671139
71.288749,84,111.682608
107.824935,126,111.699817
1305.082819,1301,112.244914
698.891204,676,112.340181
320.639546,315,112.814477
1862.758033,1989,113.092662
3447.933904,3369,114.289895
283.386667,294,114.33157
10961.84099,10906,118.02098
1028.573106,984,118.15897
1662.392969,1596,118.739825
1196.993388,1150,118.903738
201.325923,199,119.305483
501.05552,475,119.37253
191.066993,203,119.401522
644.391835,626,119.48998
18.016626,37,119.495099
2670.710762,2550,120.209318
2023.724501,1848,120.834915
542.648272,556,121.315705
595.363154,559,121.393902
280.365591,280,121.43404
242.831057,219,121.465022
2517.234677,2313,122.145194
469.963324,476,122.211337
314.155693,324,122.625634
2359.937238,2274,123.306178
1193.55496,1150,123.466414
2352.131398,2287,124.143229
375.11072,361,124.546563
527.296653,511,124.619092
40.429057,50,124.625993
2004.120998,2002,125.277838
463.200766,441,125.340007
2427.428978,2369,126.040317
2657.563517,2542,126.76499
286.070877,295,127.171927
776.392245,719,127.272904
1525.171824,1495,127.835979
529.230524,551,127.912829
268.947556,306,127.955979
216.680437,214,127.985729
944.057201,878,128.457084
1883.731787,1802,129.082232
63.045286,87,129.094604
1615.446513,1602,129.348911
1121.881248,1070,129.85866
633.382635,637,129.946383
4550.132101,4458,131.357722
1154.095706,1117,131.87739
4541.278532,4394,133.206292
500.639505,446,133.268484
229.498904,198,133.296064
110.930822,118,133.3124
208.670991,201,133.693086
342.170022,339,133.74073
383.917661,389,133.795306
271.466389,277,133.834073
851.294102,810,133.946966
709.930392,660,134.39085
575.34467,588,134.474339
3541.657593,3475,135.690994
521.471459,566,135.771592
445.592576,452,135.83572
649.330271,654,136.283754
1471.410903,1394,136.484073
1088.877107,1021,137.087581
535.301567,472,137.157224
410.553567,353,137.212418
138.836695,146,137.234652
1764.859319,1641,137.901504
443.623217,409,137.960758
4665.546009,4416,139.307048
125.717586,134,139.325757
514.078952,457,139.741013
4196.477344,3794,140.624686
2445.938439,2253,141.774831
2650.425766,2419,142.518443
58.870182,65,142.52755
117.088188,146,142.547958
985.805373,931,142.681058
229.653232,217,142.711871
1061.208857,975,143.246537
894.310855,856,143.369286
205.688601,211,143.399271
1103.920854,1002,143.943433
1394.152193,1327,144.525041
1361.786974,1187,144.695264
4376.850361,4048,146.12136
2614.205595,2363,146.858251
68.904985,70,146.867937
223.764493,221,146.898982
1103.37926,1043,147.453718
2164.980422,1953,148.131809
1015.435562,942,148.266468
215.554862,207,148.296561
2671.732783,2386,149.530047
1243.181747,1117,149.692873
231.067343,216,149.7242
365.355468,338,149.772792
1741.397338,1578,150.401087
396.461371,366,150.455394
801.049421,693,150.949819
69.007324,82,150.961588
63.886635,66,150.971467
667.595698,577,151.056991
388.148072,387,151.113343
1136.012707,1067,151.715805
142.026682,130,151.734437
534.017306,512,151.808254
1487.717355,1278,152.436203
1601.801577,1439,152.64567
2001.279177,1791,153.307765
328.591072,353,153.359423
143.558692,136,153.825416
1004.992254,935,153.973213
729.099043,684,154.086559
62.168508,62,154.096697
206.413339,197,154.128535
913.847595,848,154.692717
977.085768,847,154.809208
158.795982,148,154.829562
370.382056,389,155.233151
325.21936,326,155.278446
1697.694417,1453,155.481502
163.347634,163,155.504175
122.046852,133,155.878649
97.02499,115,155.894881
2088.368897,1801,156.146597
369.33413,354,156.548408
143.247281,131,156.566762
559.675659,493,156.635754
135.740646,138,156.655116
2946.457173,2516,157.360491
374.327826,351,157.410702
1116.640675,1000,157.918988
188.938395,170,157.94312
526.98913,476,158.010444
7688.239536,6878,160.412178
468.596258,407,160.46932
